Direction,Name,Identified Genes,S,N,P (adj.)
Up,DNA replication,"FEN1, LIG1, MCM2, MCM4, MCM7, POLD1, POLE, POLE3, RFC2, RNASEH2A, RPA1",11,36,8.12455E-07
Up,Cell cycle,"ANAPC2, CCNB1, CDC20, CDC25A, CDC45, CDC6, CDKN2B, E2F1, E2F2, ESPL1, MCM2, MCM4, MCM7, PKMYT1, TFDP1, TTK",16,124,7.67251E-05
Up,Nucleotide excision repair,"LIG1, POLD1, POLE, POLE3, RAD23A, RAD23B, RFC2, RPA1",8,47,0.003897109
Up,Huntington's disease,"ATP5D, ATP5G1, ATP5O, BAX, COX5B, COX6B1, COX7B2, NDUFA13, NDUFA8, NDUFB7, NDUFS7, PLCB3, POLR2I, POLR2L, SLC25A5",15,193,0.031110995
Up,Fanconi anemia pathway,"ATRIP, EME1, FANCC, FANCG, RAD51, RMI1, RPA1",7,53,0.032612824
Up,Homologous recombination,"EME1, POLD1, RAD51, RAD54L, RPA1",5,28,0.036147711
Up,Citrate cycle (TCA cycle),"ACLY, MDH1, MDH2, PCK2, SUCLG1",5,30,0.041846263
Up,Non-alcoholic fatty liver disease (NAFLD),"BAX, COX5B, COX6B1, COX7B2, GSK3A, NDUFA13, NDUFA8, NDUFB7, NDUFS7, RXRA, SREBF1, TRAF2",12,151,0.041846263
Up,Oxidative phosphorylation,"ATP5D, ATP5G1, ATP5O, ATP6V1F, COX5B, COX6B1, COX7B2, NDUFA13, NDUFA8, NDUFB7, NDUFS7",11,133,0.041846263
Up,Base excision repair,"FEN1, LIG1, POLD1, POLE, POLE3",5,33,0.046248001
Down,Complement and coagulation cascades,"CFH, F8, PROC, SERPINA5, SERPIND1, TFPI",6,69,0.026696647
Down,PI3K-Akt signaling pathway,"DDIT4, EGF, FGF7, GNG11, ITGAV, ITGB3, JAK1, KIT, LAMA4, LPAR1, LPAR6, NGFR, PTEN, RBL2",14,345,0.026696647
Down,Pathways in cancer,"AGTR1, EDNRA, EGF, FGF7, GNG11, HIF1A, ITGAV, JAK1, KIT, LAMA4, LPAR1, LPAR6, PTEN, TGFBR2, TRAF5",15,397,0.026696647
