Symbol,Description,EntrezID,Chromosome,logFC,AveExpr,P,P (adj.),,,,,,,,,,,
YIF1B,"Yip1 interacting factor homolog B, membrane trafficking protein",90522,19,0.4338,3.469,3.49E-10,9.16E-06,,,,,,,,,,,
GAGE2A,G antigen 2A,729447,X,1.225,-5.679,1.56E-08,7.48E-05,,,,,,,,,,,
LINC01205,long intergenic non-protein coding RNA 1205,401082,3,0.9773,-5.645,1.99E-08,7.48E-05,,,,,,,,,,,
MRPS12,mitochondrial ribosomal protein S12,6183,19,0.4578,0.4239,2.38E-08,7.83E-05,,,,,,,,,,,
GAGE12E,G antigen 12E,729431,X,0.4938,-6.137,4.11E-08,0.0001201,,,,,,,,,,,
CCDC144NL-AS1,CCDC144NL antisense RNA 1,440416,17,1.799,-4.362,5.37E-08,0.000127,,,,,,,,,,,
PRR19,proline rich 19,284338,19,0.6589,-1.147,6.29E-08,0.0001271,,,,,,,,,,,
TUBB4B,tubulin beta 4B class IVb,10383,9,0.429,8.227,7.12E-08,0.0001335,,,,,,,,,,,
STRN4,striatin 4,29888,19,0.2347,6.345,1.79E-07,0.000253,,,,,,,,,,,
RMND5B,required for meiotic nuclear division 5 homolog B,64777,5,0.2911,3.945,1.83E-07,0.000253,,,,,,,,,,,
ZNF367,zinc finger protein 367,195828,9,0.5603,1.47,2.75E-07,0.0003445,,,,,,,,,,,
FAM129B,family with sequence similarity 129 member B,64855,9,0.3557,6.549,4.21E-07,0.0004423,,,,,,,,,,,
C9orf142,chromosome 9 open reading frame 142,286257,9,0.2436,3.243,5.89E-07,0.0005633,,,,,,,,,,,
ARMC6,armadillo repeat containing 6,93436,19,0.2658,3.38,6.02E-07,0.0005633,,,,,,,,,,,
RUSC1,RUN and SH3 domain containing 1,23623,1,0.3013,4.248,6.23E-07,0.0005633,,,,,,,,,,,
E2F2,E2F transcription factor 2,1870,1,0.6452,0.3035,6.48E-07,0.0005633,,,,,,,,,,,
POTEE,POTE ankyrin domain family member E,445582,2,1.636,0.9894,6.65E-07,0.0005633,,,,,,,,,,,
GAGE12B,G antigen 12B,729428,X,0.3134,-6.202,7.79E-07,0.0006198,,,,,,,,,,,
TRUB2,TruB pseudouridine (psi) synthase family member 2,26995,9,0.2607,4.36,8.42E-07,0.0006503,,,,,,,,,,,
PPFIA3,PTPRF interacting protein alpha 3,8541,19,0.7422,2.38,9.00E-07,0.0006691,,,,,,,,,,,
